iter	Passed	Remaining
428	1821	2423
429	1824	2418
430	1828	2414
431	1832	2408
432	1836	2405
433	1841	2401
434	1845	2397
435	1849	2392
436	1854	2388
437	1857	2382
438	1862	2380
439	1868	2378
440	1871	2372
441	1877	2370
442	1885	2370
443	1891	2368
444	1896	2365
445	1901	2361
446	1906	2358
447	1911	2354
448	1916	2351
449	1920	2347
450	1923	2341
451	1926	2336
452	1929	2330
453	1932	2324
454	1935	2318
455	1938	2313
456	1942	2307
457	1945	2301
458	1947	2295
459	1951	2290
460	1955	2286
461	1958	2280
462	1961	2275
463	1964	2269
464	1968	2265
465	1972	2260
466	1975	2254
467	1978	2249
468	1981	2243
469	1986	2240
470	1991	2236
471	1994	2231
472	1997	2225
473	2001	2220
474	2004	2215
475	2007	2210
476	2010	2204
477	2013	2199
478	2017	2193
479	2021	2190
480	2025	2185
481	2028	2179
482	2032	2175
483	2036	2170
484	2039	2166
485	2044	2162
486	2049	2159
487	2054	2155
488	2059	2151
489	2063	2148
490	2068	2144
491	2073	2140
492	2077	2136
493	2084	2134
494	2090	2132
495	2095	2128
496	2099	2124
497	2102	2119
498	2106	2114
499	2110	2110
500	2114	2105
501	2116	2100
502	2119	2094
503	2122	2089
504	2127	2085
505	2131	2080
506	2134	2075
507	2137	2070
508	2141	2065
509	2145	2061
510	2149	2057
511	2153	2052
512	2156	2046
513	2159	2042
514	2163	2037
515	2166	2032
516	2170	2027
517	2174	2023
518	2177	2018
519	2181	2013
520	2184	2008
521	2187	2002
522	2192	1999
523	2195	1994
524	2198	1989
525	2202	1984
526	2205	1979
527	2209	1974
528	2212	1969
529	2215	1964
530	2218	1959
531	2223	1955
532	2227	1951
533	2230	1946
534	2234	1941
535	2237	1937
536	2241	1932
537	2245	1928
538	2249	1924
539	2254	1920
540	2258	1916
541	2263	1912
542	2267	1908
543	2272	1905
544	2278	1902
545	2283	1898
546	2287	1894
547	2290	1889
548	2294	1884
549	2296	1879
550	2300	1874
551	2304	1870
552	2307	1865
553	2310	1860
554	2314	1855
555	2317	1851
556	2321	1846
557	2324	1840
558	2327	1835
559	2330	1831
560	2334	1826
561	2337	1822
562	2341	1817
563	2345	1813
564	2349	1808
565	2353	1804
566	2357	1800
567	2360	1795
568	2366	1792
569	2370	1788
570	2373	1783
571	2376	1778
572	2380	1774
573	2383	1769
574	2387	1764
575	2390	1759
576	2394	1755
577	2397	1750
578	2400	1745
579	2403	1740
580	2406	1735
581	2410	1731
582	2414	1726
583	2417	1721
584	2420	1717
585	2424	1713
586	2428	1708
587	2432	1704
588	2436	1700
589	2440	1696
590	2444	1692
591	2448	1687
592	2452	1682
593	2455	1678
594	2460	1674
595	2465	1671
596	2469	1667
597	2474	1663
598	2478	1658
599	2481	1654
600	2484	1649
601	2487	1644
602	2491	1640
603	2494	1635
604	2497	1630
605	2500	1626
606	2504	1621
607	2507	1616
608	2511	1612
609	2515	1608
610	2519	1604
611	2522	1599
612	2526	1595
613	2529	1590
614	2532	1585
615	2535	1580
616	2539	1576
617	2542	1571
618	2545	1566
619	2548	1562
620	2552	1557
621	2555	1553
622	2559	1548
623	2561	1543
624	2565	1539
625	2568	1534
626	2572	1530
627	2575	1525
628	2578	1521
629	2582	1516
630	2586	1512
631	2589	1507
632	2593	1503
633	2596	1499
634	2601	1495
635	2605	1491
636	2608	1486
637	2612	1482
638	2616	1477
639	2620	1473
640	2624	1470
641	2633	1468
642	2638	1464
643	2645	1462
644	2649	1458
645	2655	1454
646	2659	1450
647	2673	1452
648	2677	1448
649	2681	1443
650	2684	1439
651	2688	1434
652	2691	1430
653	2697	1426
654	2700	1422
655	2703	1417
656	2707	1413
657	2711	1409
658	2714	1404
659	2718	1400
660	2721	1395
661	2725	1391
662	2728	1386
663	2731	1382
664	2734	1377
665	2737	1373
666	2742	1369
667	2747	1365
668	2751	1361
669	2755	1357
670	2759	1353
671	2763	1348
672	2766	1344
673	2770	1339
674	2773	1335
675	2776	1330
676	2780	1326
677	2783	1322
678	2788	1318
679	2791	1313
680	2794	1309
681	2797	1304
682	2800	1299
683	2805	1296
684	2809	1291
685	2812	1287
686	2815	1282
687	2818	1278
688	2823	1274
689	2827	1270
690	2832	1266
691	2837	1262
692	2841	1258
693	2846	1255
694	2851	1251
695	2856	1247
696	2861	1244
697	2871	1242
698	2876	1238
699	2882	1235
700	2887	1231
701	2891	1227
702	2897	1224
703	2902	1220
704	2906	1216
705	2911	1212
706	2916	1208
707	2920	1204
708	2924	1200
709	2929	1196
710	2934	1192
711	2938	1188
712	2943	1184
713	2947	1180
714	2951	1176
715	2955	1172
716	2960	1168
717	2964	1164
718	2968	1160
719	2972	1156
720	2976	1151
721	2981	1147
722	2985	1143
723	2990	1139
724	2994	1135
725	2998	1131
726	3002	1127
727	3007	1123
728	3011	1119
729	3014	1115
730	3017	1110
731	3021	1106
732	3024	1101
733	3028	1097
734	3031	1092
735	3035	1088
736	3039	1084
737	3044	1080
738	3048	1076
739	3052	1072
740	3056	1068
741	3061	1064
742	3066	1060
743	3071	1056
744	3074	1052
745	3078	1048
746	3081	1043
747	3085	1039
748	3089	1035
749	3092	1030
750	3095	1026
