iter	Logloss
0	0.6874736915
1	0.6823397909
2	0.6772597628
3	0.6720698825
4	0.6674142361
5	0.6630668662
6	0.6585467987
7	0.6545192682
8	0.650883267
9	0.6474924032
10	0.6441017955
11	0.6406500536
12	0.6377671167
13	0.6349814614
14	0.6319444285
15	0.6289667857
16	0.6263658088
17	0.6241017603
18	0.6218899193
19	0.6194771775
20	0.6172454616
21	0.6150602054
22	0.6130888122
23	0.6109571286
24	0.6089906114
25	0.6070712839
26	0.6053251932
27	0.6034940839
28	0.6019687059
29	0.6005356193
30	0.5993166804
31	0.5980558235
32	0.5966459628
33	0.5956156532
34	0.594258551
35	0.5933329204
36	0.5922195236
37	0.5909207933
38	0.5898872978
39	0.5887967592
40	0.5877717655
41	0.5869051419
42	0.5859860913
43	0.585224422
44	0.5844993412
45	0.5838085328
46	0.5831038819
47	0.5824473648
48	0.5818160502
49	0.5810883017
50	0.5806249859
51	0.5800832771
52	0.579482438
53	0.5790003358
54	0.5785490765
55	0.5781593669
56	0.5776890421
57	0.5770932944
58	0.5766768952
59	0.5761099009
60	0.5756395682
61	0.575133576
62	0.5746384369
63	0.5741838997
64	0.5736989107
65	0.5733586838
66	0.5729068291
67	0.5726396603
68	0.5721609084
69	0.5718905631
70	0.571612151
71	0.5711940043
72	0.5708532502
73	0.5704342279
74	0.5701585708
75	0.5698921425
76	0.5696602216
77	0.569310183
78	0.5689573894
79	0.5685509294
80	0.5683546938
81	0.568152408
82	0.5678958183
83	0.5676342255
84	0.5675011359
85	0.5672067892
86	0.5669103297
87	0.5666231344
88	0.5663427893
89	0.5661357089
90	0.565875037
91	0.5656684451
92	0.565428477
93	0.5653796097
94	0.56514074
95	0.5649480296
96	0.5647227387
97	0.5644369846
98	0.5643265479
99	0.5640401999
100	0.5638352908
101	0.5635974738
102	0.5634417006
103	0.5632683707
104	0.5630024728
105	0.5628670541
106	0.5625817043
107	0.5623181165
108	0.5621211395
109	0.562043251
110	0.5618108403
111	0.5615916986
112	0.5614178438
113	0.5611393107
114	0.561036604
115	0.5609054093
116	0.5608192724
117	0.5606602888
118	0.5605400092
119	0.560258229
120	0.5601095078
121	0.5599308681
122	0.559809979
123	0.5596581833
124	0.5596206063
125	0.5594869223
126	0.5593673677
127	0.559169672
128	0.5590117676
129	0.5588002127
130	0.5586699652
131	0.5583751686
132	0.5582216851
133	0.5580893071
134	0.5578908168
135	0.5577362665
136	0.5576274033
137	0.5574920546
138	0.5572575721
139	0.5570211855
140	0.5568889398
141	0.5567941554
142	0.5565534773
143	0.5563509722
144	0.5562062611
145	0.5560378508
146	0.5559315149
147	0.5558768372
148	0.5557238235
149	0.5555689286
150	0.5554566553
151	0.5553344276
152	0.5551676549
153	0.5550599615
154	0.5549753321
155	0.5548162951
156	0.554706956
157	0.5545482937
158	0.554461685
159	0.5543346342
160	0.5542468649
161	0.5541094149
162	0.5539826318
163	0.5538528054
164	0.5537312612
165	0.5536516869
166	0.5535823079
167	0.5534567146
168	0.5533837696
169	0.5532978393
170	0.5531667749
171	0.5529888927
172	0.5527022565
173	0.5526412375
174	0.5525696568
175	0.5524722468
176	0.5522433517
177	0.5521565777
178	0.552063049
179	0.5520016123
180	0.551914939
181	0.5517964434
182	0.5516152349
183	0.5513876436
184	0.5512833814
185	0.5511429879
186	0.5510213153
187	0.5508751332
188	0.5506418312
189	0.5505443803
190	0.5503656794
191	0.550284621
192	0.5502341558
193	0.5501781824
194	0.5500274246
195	0.549904046
196	0.5497817509
197	0.5497030271
198	0.5495457959
199	0.5493664448
200	0.5492553863
201	0.5491167271
202	0.5490491405
203	0.5489655328
204	0.5488553943
205	0.5487167468
206	0.5486137566
207	0.5484832892
208	0.548429221
209	0.5483405267
210	0.5482411179
211	0.5479916858
212	0.5478917272
213	0.5477619128
214	0.5476404456
215	0.5474943464
216	0.547431597
217	0.5473345793
218	0.5472645746
219	0.5471536275
220	0.5470077201
221	0.5468892582
222	0.5467782786
223	0.5466711409
224	0.5466103109
225	0.5465076363
226	0.5463537041
227	0.5462806099
228	0.5461984759
229	0.5461076215
230	0.5460261403
231	0.545858633
